place,longitude,latitude,type
Binnenkant (Amsterdam),4.904088,52.37374,street
Heilige Stede (Amsterdam),4.891944,52.368056,church
Athenaeum Illustre (Amsterdam),4.895556,52.369444,hospital
Prins Hendrikkade (Amsterdam),4.904453,52.374714,street
Stadhuis (Amsterdam),4.891389,52.373056,state
Eilandskerk (Amsterdam),4.888766,52.384886,church
Stadsartilleriehuis (Amsterdam),4.882956,52.383308,military
Weesperpoort (Amsterdam),4.908192,52.360756,gate
Sint-Olofskapel (Amsterdam),4.9,52.376111,church
Prinsenhof (Amsterdam),4.895556,52.370833,state
Vleeshal (Amsterdam),4.894828,52.371179,commerce
Sint-Jorishof (Amsterdam),4.891667,52.368056,hospital
Waag op de Botermarkt (Amsterdam),4.896758,52.365832,commerce
Amstelveen,,,
Brouwersgracht (Amsterdam),4.888334,52.380814,canal
Rembrandtplein (Amsterdam),4.896758,52.365832,public
Bushuis (Amsterdam),4.898094,52.370613,hospital
Waverveen,,,
Binnengasthuis (Amsterdam),4.894722,52.368611,hospital
Tolhuis (Amsterdam),4.903345,52.382335,state
Plantage Middenlaan (Amsterdam),4.913056,52.365833,public
Nieuwe Stadsherberg (Amsterdam),4.896768,52.377921,commerce
Oude Stadsherberg (Amsterdam),4.897102,52.378437,commerce
Scheepswerfterrein van de VOC op Oostenburg,4.922628,52.368403,commerce
Lijnbaan van de Admiraliteit Amsterdam,4.923667,52.368356,military
Buitengasthuis (Amsterdam),4.870578,52.362672,hospital
Luthers Diaconessen Weeshuis (Amsterdam),4.905559,52.36501,church
Walenweeshuis (Amsterdam),4.891398,52.361929,hospital
Kartuizer Weduwenhof (Amsterdam),4.882403,52.379021,church
Molen de Wetering (Amsterdam),4.89093,52.3592,commerce
Verbeterhuis bij de Weteringpoort (Amsterdam),4.890955,52.359343,gate
Joodse Vleeshal  (Amsterdam),4.90325,52.36706,commerce
Diaconieweeshuis (Amsterdam),4.905559,52.36501,church
Westerhal (Amsterdam),4.883993,52.374097,commerce
Kleine Vleeshal (Amsterdam),4.89378,52.371364,commerce
Grote Vleeshal (Amsterdam),4.89378,52.371364,commerce
Nieuwe Vismarkt (Amsterdam),,,
Stadsbank van Lening (Amsterdam),4.894416,52.370542,commerce
Korsjespoort (Amsterdam),4.892352,52.376983,gate
Nieuwe Franse Kerk (Amsterdam),4.897222,52.370833,church
Nieuwe Vaart (Amsterdam),4.919073,52.369194,canal
Weesperveld (Amsterdam),4.909114,52.365275,hospital
Admiraliteit (Amsterdam),4.895176,52.371103,military
Nieuwendijk (Amsterdam),4.895325,52.375885,canal
Martelaarsgracht (Amsterdam),4.896535,52.377883,canal
Grote Synagoge (Amsterdam),4.903889,52.367222,synagogue
Bloedstraat (Amsterdam),4.899264,52.372908,street
Passeerdersgracht (Amsterdam),4.881052,52.367041,canal
Plantage (Amsterdam),4.912741,52.366824,public
Hortus Botanicus (Amsterdam),4.908342,52.366673,public
Nieuwezijds Herenlogement (Amsterdam),4.891889,52.38,public
Huiszitten-Weduwenhof (Amsterdam),4.881675,52.378631,hospital
Evangelisch-Luthers weeshuis (Amsterdam),4.905559,52.36501,church
Herengracht 625 (Amsterdam),4.900137,52.36573,state
Singel,,,
Westermarkt (Amsterdam),4.884305,52.374816,public
Werkhuis (Amsterdam),4.91055,52.364698,hospital
Oudeschans,4.904352,52.371258,canal
Halvemaansbrug (Amsterdam),4.895884,52.367385,bridge
Grimnessesluis (Amsterdam),4.894118,52.369239,hospital
Nieuwezijds Huiszittenhuis (Amsterdam),4.884759,52.376214,hospital
Korenbeurs (Amsterdam),4.896389,52.375,commerce
Osjessluis (Amsterdam),4.893408,52.367139,canal
Herberg 't Roomtuintje (Amsterdam),,,
Prinsengracht (Amsterdam),,,
Vleeshal op de Herenmarkt (Amsterdam),4.89167,52.379712,commerce
Molensteeg (Amsterdam),4.899813,52.373571,street
Nieuwe Regulierspoort (Amsterdam),4.893248,52.36705,gate
Engelse Kerk (Amsterdam),4.89,52.369167,church
Nieuwe Synagoge (Amsterdam),4.9036692,52.3669033,synagogue
Vijzelstraat (Amsterdam),4.892432,52.363808,street
Begijnhof (Amsterdam),4.890077,52.369548,church
Ronde Lutherse kerk (Amsterdam),4.893611,52.377778,church
Oude Hoogstraat (Amsterdam),4.897747,52.371285,street
Huis Kostverloren (Amstelveen),,,
Lijnbaansgracht (Amsterdam),4.887098,52.361689,canal
Besjeshuis (Amsterdam),,,
Sí_dermanland,,,
Recht Boomssloot (Amsterdam),4.902873,52.372511,street
Duinkerke,,,
Stadskorenpakhuis (Amsterdam),,,
Rotterdam,,,
Nederduitse Academie,4.883486,52.368525,public
Waalseilandgracht (Amsterdam),4.903168,52.37408,canal
Regulierswaag (Amsterdam),4.894117,52.366408,bridge
Pauwentuin (Amsterdam),4.903815,52.360825,commerce
Lijnbaan van de VOC Amsterdam,4.923667,52.368356,commerce
Noord-Holland,,,
Rooms-Katholiek Jongensweeshuis (Amsterdam),4.879956,52.370643,church
Wisselbank (Amsterdam),4.89139,52.373152,commerce
